gene_symbol,chromosome,gene_name,gene_count
SMAD3,15,"SMAD, mothers against DPP homolog 3 (Drosophila)",1
SULT1A1,16,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1",65
NQO1,16,"NAD(P)H dehydrogenase, quinone 1",57
CDH1,16,"Cadherin 1, type 1, E-cadherin (epithelial)",36
MC1R,16,"Melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)",25
MMP2,16,"Matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)",23
ERCC4,16,"Excision repair cross-complementing rodent repair deficiency, complementation group 4",20
IL4R,16,"Interleukin 4 receptor",6
SULT1A2,16,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2",5
CYBA,16,"Cytochrome b-245, alpha polypeptide",4
CARD15,16,"Caspase recruitment domain family, member 15",3
HSD17B2,16,"Hydroxysteroid (17-beta) dehydrogenase 2",3
CES2,16,"Carboxylesterase 2 (intestine, liver)",2
IGFALS,16,"Insulin-like growth factor binding protein, acid labile subunit",2
IGHV,16,"immunoglobulin heavy variable group",2
DNASE1,16,"Deoxyribonuclease I",2
CBFB,16,"Core-binding factor, beta subunit",2
ATBF1,16,"AT-binding transcription factor 1",1
FANCA,16,"Fanconi anemia, complementation group A",1
AXIN1,16,"Axin 1",1
CYLD,16,"Cylindromatosis (turban tumor syndrome)",1
ABCC1,16,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",1
CX3CL1,16,"Chemokine (C-X3-C motif) ligand 1",1
CTCF,16,"CCCTC-binding factor (zinc finger protein)",1
TCS2,16,"Tuberous sclerosis 2",1
CETP,16,"Cholesteryl ester transfer protein, plasma",1
CIITA,16,"class II, major histocompatibility complex, transactivator",1
SSTR5,16,"Somatostatin receptor 5",1
CES1,16,"Carboxylesterase 1 (monocyte/macrophage serine esterase 1)",1
MYH11,16,"Myosin, heavy polypeptide 11, smooth muscle",1
HP,16,Haptoglobin,1
MPG,16,"N-methylpurine-DNA glycosylase",1
CDT1,16,"Chromatin licensing and DNA replication factor 1",1
TP53,17,"Tumor protein p53 (Li-Fraumeni syndrome)",181
BRCA1,17,"Breast cancer 1, early onset",80
MPO,17,Myeloperoxidase,52
ERBB2,17,"V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",36
ELAC2,17,"ElaC homolog 2 (E. coli)",25
SHMT1,17,"Serine hydroxymethyltransferase 1 (soluble)",14
NOS2A,17,"Nitric oxide synthase 2A (inducible, hepatocytes)",14
HSD17B1,17,"Hydroxysteroid (17-beta) dehydrogenase 1",12
ITGB3,17,"Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",10
ACE,17,"Angiotensin I converting enzyme (peptidyl-dipeptidase A) 1",10
NF1,17,"Neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)",10
MYH1,17,"Myosin, heavy polypeptide 1, skeletal muscle, adult",8
SHBG,17,"Sex hormone-binding globulin",8
PHB,17,Prohibitin,6
TIMP2,17,"TIMP metallopeptidase inhibitor 2",6
BRIP1,17,"BRCA1 interacting protein C-terminal helicase 1",5
LIG3,17,"Ligase III, DNA, ATP-dependent",5
GH1,17,"Growth hormone 1",5
ALOX12,17,"Arachidonate 12-lipoxygenase",4
NME1,17,"Non-metastatic cells 1, protein (NM23A) expressed in",3
HER2,17,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2",3
SSTR2,17,"Somatostatin receptor 2",3
CCL5,17,"Chemokine (C-C motif) ligand 5",2
ACACA,17,"Acetyl-Coenzyme A carboxylase alpha",2
PLD2,17,"Phospholipase D2",2
ERBB2,17,"-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",2
RAD51C,17,"RAD51 homolog C (S. cerevisiae)",2
ATP1B2,17,"ATPase, Na+/K+ transporting, beta 2 polypeptide",1
SLC6A4,17,"Solute carrier family 6 (neurotransmitter transporter, serotonin), member 4",1
AXIN2,17,"Axin 2 (conductin, axil)",1
RPA1,17,"Replication protein A1, 70kDa",1
AKAP10,17,"A kinase (PRKA) anchor protein 10",1
GP1BA,17,"Glycoprotein Ib (platelet), alpha polypeptide",1
BIRC5,17,"Baculoviral IAP repeat-containing 5 (survivin)",1
IKZF3,17,"IKAROS family zinc finger 3 (Aiolos)",1
C17orf37,17,"Chromosome 17 open reading frame 37",1
POLG2,17,"Polymerase (DNA directed), gamma 2, accessory subunit",1
THRA,17,"Thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)",1
PNMT,17,"Phenylethanolamine N-methyltransferase",1
NEUROD2,17,"Neurogenic differentiation 2",1
GRB7,17,"Growth factor receptor-bound protein 7",1
LGALS3BP,17,"Lectin, galactoside-binding, soluble, 3 binding protein",1
TCF2,17,"Transcription factor 2, hepatic; LF-B3; variant hepatic nuclear factor",1
STARD3,17,"START domain containing 3",1
RAD51L3,17,"RAD51-like 3 (S. cerevisiae)",1
PERLD1,17,"Per1-like domain containing 1",1
TCAP,17,"Titin-cap (telethonin)",1
PECAM1,17,"Platelet/endothelial cell adhesion molecule (CD31 antigen)",1
PPARBP,17,"PPAR binding protein",1
TOP2A,17,"Topoisomerase (DNA) II alpha 170kDa",1
ITGA3,17,"Integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)",1
CCL2,17,"Chemokine (C-C motif) ligand 2",1
RAI1,17,"Smith-Magenis syndrome chromosome region, candidate 3",1
COL1A1,17,"Collagen, type I, alpha 1",1
PPP1R1B,17,"Protein phosphatase 1, regulatory (inhibitor) subunit 1B (dopamine and cAMP regulated phosphoprotein, DARPP-32)",1
CAMKK1,17,"Calcium/calmodulin-dependent protein kinase kinase 1, alpha",1
TYMS,18,"Thymidylate synthetase",58
BCL2,18,"B-cell CLL/lymphoma 2",11
DCC,18,"Deleted in colorectal carcinoma",2
POLI,18,"Polymerase (DNA directed) iota",2
MAPRE2,18,"Microtubule-associated protein, RP/EB family, member 2",1
C18orf8,18,"Chromosome 18 open reading frame 8",1
SERPINB10,18,"Serpin peptidase inhibitor, clade B (ovalbumin), member 10",1
MBD1,18,"Methyl-CpG binding domain protein 1",1
MBD2,18,"Methyl-CpG binding domain protein 2",1
SMAD4,18,"SMAD, mothers against DPP homolog 4 (Drosophila)",1
SMAD2,18,"SMAD, mothers against DPP homolog 2 (Drosophila)",1
mic1,18,"chromosome 18 open reading frame 8",1
SMAD7,18,"SMAD, mothers against DPP homolog 7 (Drosophila)",1
XRCC1,19,"X-ray repair complementing defective repair in Chinese hamster cells 1",104
ERCC2,19,"Excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)",83
ERCC1,19,"Excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)",42
TGFB1,19,"Transforming growth factor, beta 1 (Camurati-Engelmann disease)",28
CYP2A6,19,"Cytochrome P450, family 2, subfamily A, polypeptide 6",19
KLK3,19,"Kallikrein 3, (prostate specific antigen)",16
KIR3DL1,19,"Killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1",6
LIG1,19,"Ligase I, DNA, ATP-dependent",6
